ASIN,Product Title,Current Price,Original Price,Currency,Discount %,Savings Amount,URL,Image URL,Category,Ratings Count,Star Rating,Brand,Prime
B00EU6TXC6,"Portronics My Buddy K Portable Laptop Stand with Adjustable Height, Foldable, OverHeating Protection for Laptops & MacBooks (Grey)",399,1999,₹,80,1600,https://www.amazon.in/dp/B00EU6TXC6?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/313Zn9hU0KL._SL160_.jpg,Furniture,0,0,Portronics,true
9358704330,"Aditya Ranjan Sir SSC Maths CGL Warrior 2025 | Mathematics | PYQ Question Bank, Chapter wise, Short Tricks, Best Explanation | Math for Competitive Exam Book 2025 | In English & Hindi Medium | Practice Book | (2e) Bilingual",64,300,₹,78,236,https://www.amazon.in/dp/9358704330?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/414Dj3w4X4L._SL160_.jpg,Fashion,0,0,S Chand,true
B08372ZPVS,"Redgear A-10 Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Upto 2400, Compatible with Windows.",172,699,₹,75,527,https://www.amazon.in/dp/B08372ZPVS?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31+ptlTTKSL._SL160_.jpg,Fashion,0,0,Redgear,true
