ASIN,Product Title,Current Price,Original Price,Currency,Discount %,Savings Amount,URL,Image URL,Category,Ratings Count,Star Rating,Brand,Prime
B08JLM24Q8,How to Win Friends and Influence People,10,152,₹,93,142,https://www.amazon.in/dp/B08JLM24Q8?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51AKk9NTPBL._SL160_.jpg,KindleStore,0,0,,false
B0B9LDCX89,"STRIFF Mpad Mouse Mat 230X190X3mm Gaming Mouse Pad, Non-Slip Rubber Base, Waterproof Surface, Premium-Textured, Compatible with Laser and Optical Mice(Universe Black)",99,1299,₹,92,1200,https://www.amazon.in/dp/B0B9LDCX89?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41FMV7m5bZL._SL160_.jpg,OfficeProducts,0,0,STRIFF,true
B0BSR2N5W9,"Sounce Mouse Pad Speed Type Mouse Pad with Antifray Stitched Embroidery Edges, Non-Slip Rubber Base Mousepad for Laptop PC (260mm x 210mm x 2mm) (Black)",89,999,₹,91,910,https://www.amazon.in/dp/B0BSR2N5W9?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31v9AJyX0mL._SL160_.jpg,OfficeProducts,0,0,Sounce,true
B00CPL3LLW,African Cats,49,499,₹,90,450,https://www.amazon.in/dp/B00CPL3LLW?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/417+stZGJ4L._SL160_.jpg,MoviesAndTV,0,0,,false
B0BBFCG66M,"DesiDiya® 35 Feet Long LED Power Pixel Serial String Light, 360 Degree Light in Bulb | Copper Led Pixel String Light for Home Decoration,Diwali,Christmas(Warm White) Pack of 1",98,999,₹,90,901,https://www.amazon.in/dp/B0BBFCG66M?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41K+rPaNnLL._SL160_.jpg,GiftCards,0,0,Desidiya,true
B0FMFCS39Y,Thriveco Color Protection Shampoo | For Dye & Color Treated Hair | Bond Building Tech HYAPLEX™ & Hyaluronic Acid | Promotes Shine & Color Vibrancy | For Men & Women (10),76,749,₹,89,673,https://www.amazon.in/dp/B0FMFCS39Y?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41vbwAz5odL._SL160_.jpg,Beauty,0,0,ThriveCo,false
9358704330,"Aditya Ranjan Sir SSC Maths CGL Warrior 2025 | Mathematics | PYQ Question Bank, Chapter wise, Short Tricks, Best Explanation | Math for Competitive Exam Book 2025 | In English & Hindi Medium | Practice Book | (2e) Bilingual",64,300,₹,78,236,https://www.amazon.in/dp/9358704330?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/414Dj3w4X4L._SL160_.jpg,Fashion,0,0,S Chand,true
B07B9YYLGG,"Bitdefender - 1 Device,1 Year - Mobile Security | Android| Latest Version | Email Delivery In 2 Hours- No Cd |",94,399,₹,76,305,https://www.amazon.in/dp/B07B9YYLGG?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41ashru03ML._SL160_.jpg,Software,0,0,BitDefender,true
B08372ZPVS,"Redgear A-10 Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Upto 2400, Compatible with Windows.",172,699,₹,75,527,https://www.amazon.in/dp/B08372ZPVS?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31+ptlTTKSL._SL160_.jpg,Fashion,0,0,Redgear,true
B0D7PXB3SH,"Boat Bassheads 100 C Wired Headphones Earphones with Type-C Jack, in-Line Microphone, in Ear, 10Mm Drivers, Signature Sound, Integrated Controls & Multi-Os Compatibility (Black)",499,1990,₹,74,1491,https://www.amazon.in/dp/B0D7PXB3SH?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/313yUaWYKPL._SL160_.jpg,Computers,0,0,boAt,true
B0927T6DS6,UHUD CRAFTS Beautiful Antique Wooden Fold-able Side Table/End Table/Plant Stand/Stool Living Room Kids Play Furniture Table Round Shape,415,1599,₹,74,1184,https://www.amazon.in/dp/B0927T6DS6?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31NJkTq39ZL._SL160_.jpg,Furniture,0,0,UHUD CRAFTS,true
