ASIN,Product Title,Current Price,Original Price,Currency,Discount %,Savings Amount,URL,Image URL,Category,Ratings Count,Star Rating,Brand,Prime
B00CPL3LLW,African Cats,49,499,₹,90,450,https://www.amazon.in/dp/B00CPL3LLW?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,,MoviesAndTV,0,0,,false
B07XCM6T4N,STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),245,1499,₹,83,1254,https://www.amazon.in/dp/B07XCM6T4N?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,,Furniture,0,0,,false
B0C376RWQP,"Zebronics-NS1000 Laptop Stand Featuring Foldable Design, Anti-Slip Silicone Rubber Pads, Supports Maximum of 5kgs Weight, 6 Adjustable Levels.",229,1399,₹,83,1170,https://www.amazon.in/dp/B0C376RWQP?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,,Furniture,0,0,,false
