ASIN,Product Title,Current Price,Original Price,Currency,Discount %,Savings Amount,URL,Image URL,Category,Brand,Prime
B0CG28N5VQ,"KLIFFOO Dual Tip Colorful Art Markers Sketch Pens 24 Colors With Carrying Case For Painting Sketching Calligraphy Drawing -Twin Head Permanent Colouring Marker Pens For Kids Adult, Multicolor (24)",273,1299,₹,78,1026,https://www.amazon.in/dp/B0CG28N5VQ?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51SCY7RKyIL._SL160_.jpg,OfficeProducts,,false
9358704330,"Aditya Ranjan Sir SSC Maths CGL Warrior 2025 | Mathematics | PYQ Question Bank, Chapter wise, Short Tricks, Best Explanation | Math for Competitive Exam Book 2025 | In English & Hindi Medium | Practice Book | (2e) Bilingual",64,300,₹,78,236,https://www.amazon.in/dp/9358704330?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/414Dj3w4X4L._SL160_.jpg,Fashion,,false
B0FJLQL4TW,"UB Unity Brand Multipurpose Double Sided Tape Heavy Duty - Adhesive Silicone Tape, Heat Resistant, Multi-Functional, Removable, Washable, Reusable Anti-Slip Gel Nano Grip Tape- 3 Meter",229,999,₹,77,770,https://www.amazon.in/dp/B0FJLQL4TW?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51gp+Czvl6L._SL160_.jpg,OfficeProducts,,false
B097JJ2CK6,"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women, Black, 30 Litre",779,3396,₹,77,2617,https://www.amazon.in/dp/B097JJ2CK6?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31bOxxWWIeL._SL160_.jpg,Luggage,,false
B08372ZPVS,"Redgear A-10 Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Upto 2400, Compatible with Windows.",159,699,₹,77,540,https://www.amazon.in/dp/B08372ZPVS?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31+ptlTTKSL._SL160_.jpg,Fashion,,false
B0DSHZLRQB,"Ant Esports Prism Mouse Pad 260X210X3mm with Anti-fray Stitching, Waterproof Surface & Non-Slip Rubber Base Stitched Edges Gaming Mouse Mat for Laptop, Compatible with Laser and Optical Mice – Black",119,499,₹,76,380,https://www.amazon.in/dp/B0DSHZLRQB?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51Sj4qd+t1L._SL160_.jpg,VideoGames,,false
B0C862R9VF,"Lifelong LLKS03 Foldable Kick Skating Cycle| Skate Scooter for Kids(Max User Weight: 50Kg) Kids Scooter (Pink, Blue)",949,3999,₹,76,3050,https://www.amazon.in/dp/B0C862R9VF?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41wyB8gI-8L._SL160_.jpg,ToysAndGames,,false
B0B77X44MX,"Boldfit Hand Gripper for Men & Women Hand Grip Strengthener for Forearm, Wrist & Finger Workout Fitness Equipment for Home & Gym Training",151,599,₹,74,448,https://www.amazon.in/dp/B0B77X44MX?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51D5TWsGAsL._SL160_.jpg,SportsAndOutdoors,,false
B0CJYJSTXW,"RENESMEE 1 Pair Height Increase Insoles, 4-Layer Heel Orthotic Insoles Adjustable Comfortable & Breathable Elevator Lift Kit Up To 2cm To 9cm, Men Women Height Booster Insoles",256,999,₹,74,743,https://www.amazon.in/dp/B0CJYJSTXW?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51meNEL4OEL._SL160_.jpg,Shoes,,false
B07PQZJ6Y8,"K7 Security K7, Total Security, 1 User, 1 Year, Email Delivery In 30 Min, No Cd",385,1499,₹,74,1114,https://www.amazon.in/dp/B07PQZJ6Y8?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41SpUcn71cS._SL160_.jpg,Software,,false
