ASIN,Product Title,Current Price,Original Price,Currency,Discount %,Savings Amount,URL,Image URL,Category,Ratings Count,Star Rating,Brand,Prime
B0FV8MCC2K,Lifesto Oval Shape Adhesive Mirror Sticker for Wall on Tiles Bedroom Living Room Basin Mirror Bathroom Wall Mirror Both Side Sticker Acrylic Wall Mirror for Wall Full Length (1),139,1499,₹,90,1360,https://www.amazon.in/dp/B0FV8MCC2K?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31hnvi5JnpL._SL160_.jpg,Furniture,0,0,Lifesto,true
B0C376RWQP,"Zebronics-NS1000 Laptop Stand Featuring Foldable Design, Anti-Slip Silicone Rubber Pads, Supports Maximum of 5kgs Weight, 6 Adjustable Levels.",229,1399,₹,83,1170,https://www.amazon.in/dp/B0C376RWQP?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/419YZgB9PeL._SL160_.jpg,Furniture,0,0,ZEBRONICS,true
B07XCM6T4N,STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),245,1499,₹,83,1254,https://www.amazon.in/dp/B07XCM6T4N?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51aYKwgu-GL._SL160_.jpg,Furniture,0,0,STRIFF,true
B08LHTJTBB,"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",379,1999,₹,81,1620,https://www.amazon.in/dp/B08LHTJTBB?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41z+I72sJXL._SL160_.jpg,Furniture,0,0,Dyazo,true
B00EU6TXC6,"Portronics My Buddy K Portable Laptop Stand with Adjustable Height, Foldable, OverHeating Protection for Laptops & MacBooks (Grey)",399,1999,₹,80,1600,https://www.amazon.in/dp/B00EU6TXC6?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/313Zn9hU0KL._SL160_.jpg,Furniture,0,0,Portronics,true
9358704330,"Aditya Ranjan Sir SSC Maths CGL Warrior 2025 | Mathematics | PYQ Question Bank, Chapter wise, Short Tricks, Best Explanation | Math for Competitive Exam Book 2025 | In English & Hindi Medium | Practice Book | (2e) Bilingual",64,300,₹,78,236,https://www.amazon.in/dp/9358704330?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/414Dj3w4X4L._SL160_.jpg,Fashion,0,0,S Chand,true
B08372ZPVS,"Redgear A-10 Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Upto 2400, Compatible with Windows.",172,699,₹,75,527,https://www.amazon.in/dp/B08372ZPVS?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31+ptlTTKSL._SL160_.jpg,Fashion,0,0,Redgear,true
B0927T6DS6,UHUD CRAFTS Beautiful Antique Wooden Fold-able Side Table/End Table/Plant Stand/Stool Living Room Kids Play Furniture Table Round Shape,415,1599,₹,74,1184,https://www.amazon.in/dp/B0927T6DS6?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31NJkTq39ZL._SL160_.jpg,Furniture,0,0,UHUD CRAFTS,true
B0F7Y54PJX,"boAt 2025 Launch Rockerz 113, 40H Battery, Dual Pair, Fast Charge, ENx Tech, Stream Ad Free Music via App Support, Magnetic Buds, Bluetooth Neckband, Wireless with Mic in Ear Earphones (Active Black)",799,2490,₹,67,1691,https://www.amazon.in/dp/B0F7Y54PJX?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41YX5pqCzNL._SL160_.jpg,Electronics,0,0,boAt,true
B0BK1457X3,"Boldfit Shoe Bag for Travel Bag for Man & Women Shoe Cover for Storage at Home Gym Reusable Travelling Accessories Organizer Pouch Travel Essentials Footwear Bags for Travelling Men -Pack of 6, Black",199,599,₹,66,400,https://www.amazon.in/dp/B0BK1457X3?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51je6okhQ3L._SL160_.jpg,Fashion,0,0,Boldfit,true
