ASIN,Product Title,Current Price,Original Price,Currency,Discount %,Savings Amount,URL,Image URL,Category,Ratings Count,Star Rating,Brand,Prime
B0F3CWPXFY,"Hallstatt Aluminium Pack of 2, Self Adhesive Bathroom Shelf for Wall Shelf Organizer Wall Mounted Bathroom Shelves Rack Holder Stand for Bathroom Accessories Organiser Without Drill (Pack of 2)",746,1999,₹,62,1253,https://www.amazon.in/dp/B0F3CWPXFY?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51oxJMEGsWL._SL160_.jpg,Furniture,0,0,Hallstatt,true
B0DY1XYMYW,"Oslen Metal (Pack of 2 Self-Adhesive Shelf/Storage Organizer for Bathroom and Kitchen Corner Wall Mounted Rack Shelf Bathroom Accessories Storage Rack (No Drilling-Shelf Adhesive) (8 and 9 INCH,Black)",299,755,₹,60,456,https://www.amazon.in/dp/B0DY1XYMYW?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51OtdGHVvGL._SL160_.jpg,Furniture,0,0,Oslen,true
B07Q2BRTV7,Amazon Brand - Supples Premium Baby Diaper Pants | 62 Baby Diapers | Large | 9-14 Kg | 12 Hrs Absorption | Cushiony Cotton Soft Fabric | Phthalates-Free | Triple Leak Guard,439,945,₹,53,506,https://www.amazon.in/dp/B07Q2BRTV7?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41D+CHyFo+L._SL160_.jpg,Fashion,0,0,Supples,true
B07Q2CS1BC,Amazon Brand - Supples Premium Baby Diaper Pants | 54 Baby Diapers | XL | 12-17 Kg | 12 Hrs Absorption | Cushiony Cotton Soft Fabric | Phthalates-Free | Triple Leak Guard,439,943,₹,53,504,https://www.amazon.in/dp/B07Q2CS1BC?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41Ql0bLHvbL._SL160_.jpg,Fashion,0,0,Supples,true
B0BDG4VG2G,"Happer Plastic Premium Multipurpose Wall Mounted Storage Cabinet with Mirror, Prime Look (White)",999,1899,₹,47,900,https://www.amazon.in/dp/B0BDG4VG2G?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31dIObkq-2L._SL160_.jpg,Furniture,0,0,Happer,true
B0D2R2MXXJ,"Samsung Original 25W Type-C Travel Adaptor Without Cable, White",899,1699,₹,47,800,https://www.amazon.in/dp/B0D2R2MXXJ?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/21e1IagopSL._SL160_.jpg,Electronics,0,0,Samsung,true
B07XLML2YS,Tapo C200 360° 2MP 1080p Full HD Pan/Tilt Home Security Wi-Fi Smart Camera| Alexa Enabled| 2-Way Audio| Night Vision| Motion Detection| Sound and Light Alarm| Indoor CCTV White,1799,3299,₹,45,1500,https://www.amazon.in/dp/B07XLML2YS?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31676ChqGqL._SL160_.jpg,Electronics,0,0,Tapo,true
B0D78X544X,"Redmi 13 5G Prime Edition, Hawaiian Blue, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",11199,19999,₹,44,8800,https://www.amazon.in/dp/B0D78X544X?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51hAAMX6sBL._SL160_.jpg,Electronics,0,0,Redmi,true
B0D53YGZNK,"Cubiker Engineered Wood Multipurpose Foldable Laptop Table with Cup Holder | Table Home Study Writing Table, Foldable and Portable/Ergonomic Edges (Black - 60[L] X 40[W] X 24[H] Cm)",599,999,₹,40,400,https://www.amazon.in/dp/B0D53YGZNK?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31urzPIxpwL._SL160_.jpg,Furniture,0,0,Cubiker,true
B0CNM27L5P,"SNEAKARE Quick Shoe Cleaning Kit | Contains 150ml Foam Shoe Cleaner & 1 Medium Shoes Brush | Sneaker Cleaning Kit | Suitable for Sneakers, Nubuck, Leather, Suede & Sport Shoes",298,499,₹,40,201,https://www.amazon.in/dp/B0CNM27L5P?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41w98Jer+eL._SL160_.jpg,Fashion,0,0,SNEAKARE,true
B0DLW427YG,"Redmi A4 5G (Sparkle Purple, 4GB RAM, 64GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in The Box",7499,10999,₹,31,3500,https://www.amazon.in/dp/B0DLW427YG?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/4146RWmsLuL._SL160_.jpg,Electronics,0,0,Redmi,true
B0C8JB3G5W,"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [Deep Grey]",1599,2299,₹,30,700,https://www.amazon.in/dp/B0C8JB3G5W?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31hXqtvutdL._SL160_.jpg,Electronics,0,0,OnePlus,true
B0F9TT7Z5Q,"realme NARZO 80 Lite 5G (Crystal Purple, 6GB+128GB) | 6000mAh Long-Lasting Battery | MediaTek Dimensity 6300 5G | AI Assist | IP64 Rated Water & Dust Resistance | Military-Grade Durability",10748,14999,₹,28,4251,https://www.amazon.in/dp/B0F9TT7Z5Q?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41hyMMjlg2L._SL160_.jpg,Electronics,0,0,realme,true
B0CHX1W1XY,Apple iPhone 15 (128 GB) - Black,51990,69900,₹,25,17910,https://www.amazon.in/dp/B0CHX1W1XY?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31KxpX7Xk7L._SL160_.jpg,Electronics,0,0,Apple,true
B0DCNWN8NZ,Apple EarPods (USB-C) ​​​​​​​,1599,2000,₹,20,401,https://www.amazon.in/dp/B0DCNWN8NZ?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/21irBFnTYoL._SL160_.jpg,Electronics,0,0,Apple,true
B0DSLPVDNP,"L’Oréal Paris Hyaluron Pure 72H Purifying Shampoo, For oily scalp & dry hair with salicylic and hyaluronic acid, 200 ml",210,259,₹,18,49,https://www.amazon.in/dp/B0DSLPVDNP?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31gS08EteLL._SL160_.jpg,Fashion,0,0,L'Oreal Paris,true
B0DFQ1R3W4,"OnePlus Nord Buds 3 Truly Wireless Bluetooth in Ear Earbuds with Up to 32Db Active Noise Cancellation,10Mins for 11Hours Fast Charging with Up to 43H Music Playback -Harmonic Gray",2299,2799,₹,17,500,https://www.amazon.in/dp/B0DFQ1R3W4?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31gtxHHEj9L._SL160_.jpg,Electronics,0,0,OnePlus,true
B0BWF9ZQMN,Amazon Pay Later Bill,100,100,₹,0,0,https://www.amazon.in/dp/B0BWF9ZQMN?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41BvhQ1SVfL._SL160_.jpg,Fashion,0,0,Axio,false
B07X6GNBNT,Credit Card Bill,10,10,₹,0,0,https://www.amazon.in/dp/B07X6GNBNT?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/21Z-i0dyzKL._SL160_.jpg,Fashion,0,0,Euronet,false
