ASIN,Product Title,Current Price,Original Price,Currency,Discount %,Savings Amount,URL,Image URL,Category,Ratings Count,Star Rating,Brand,Prime
B0FV8MCC2K,Lifesto Oval Shape Adhesive Mirror Sticker for Wall on Tiles Bedroom Living Room Basin Mirror Bathroom Wall Mirror Both Side Sticker Acrylic Wall Mirror for Wall Full Length (1),139,1499,₹,90,1360,https://www.amazon.in/dp/B0FV8MCC2K?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,,Furniture,0,0,,false
B0CP84GDFW,LEGAL BRIBE Womens Textured Shoulder Tote Bag (Beige),437,2580,₹,83,2143,https://www.amazon.in/dp/B0CP84GDFW?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,,Shoes,0,0,,false
B07XCM6T4N,STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),245,1499,₹,83,1254,https://www.amazon.in/dp/B07XCM6T4N?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,,Furniture,0,0,,false
